Checkers name,,Joe Bloggs,,,,,,,,
Month,,"Thursday, May 1, 2025",,,,,,,,
Date,Trainee name,Cipher,number of errors,Time spent,,total minutes,Demographic Data for check,,Demographic Data for feedback,
,,,,Checking minutes,feedback minutes,,Items per minute,hourly average,Items per minute,hourly average
5/1/2025,John Doe,JODOE,125,60,60,120,2.08,125.00,2.08,125.00
5/1/2025,John Doe 1,JODOE1,99,50,55,105,1.98,118.80,1.80,108.00
5/1/2025,John Doe 2,JODOE2,80,50,20,70,1.60,96.00,4.00,240.00
5/1/2025,John Doe 3,JODOE3,58,45,20,65,1.29,77.33,2.90,174.00
5/1/2025,John Doe 4,JODOE4,75,55,60,115,1.36,81.82,1.25,75.00
5/1/2025,John Doe 5,JODOE5,22,20,15,35,1.10,66.00,1.47,88.00
5/1/2025,John Doe 6,JODOE6,67,52,12,64,1.29,77.31,5.58,335.00
5/1/2025,John Doe 7,JODOE7,72,70,25,95,1.03,61.71,2.88,172.80
5/1/2025,John Doe 8,JODOE8,9,10,10,20,0.90,54.00,0.90,54.00
5/1/2025,John Doe 9,JODOE9,80,45,25,70,1.78,106.67,3.20,192.00
5/1/2025,,,,,,,,,,
5/1/2025,,,,,,,,,,
5/1/2025,,,,,,,,,,
5/1/2025,,,,,,,,,,
5/1/2025,,,,,,,,,,
5/1/2025,,,,,,,,,,
5/1/2025,,,,,,,,,,
5/1/2025,,,,,,,,,,
